prompt,location,phrasing,language,source
Answer in German. Explain quantum computing in simple terms,Start,answer in {language_requested},de,sharegpt
Explain quantum computing in simple terms. Use German.,End,use {language_requested},de,sharegpt
Respond in German. which country was the first to adopt communism as the way to develop it economy,Start,respond in {language_requested},de,sharegpt
which country was the first to adopt communism as the way to develop it economy. Respond in German.,End,respond in {language_requested},de,sharegpt
Write in German. how can I answer the question: What types of use cases or new plugins do you want to see built?,Start,write in {language_requested},de,sharegpt
how can I answer the question: What types of use cases or new plugins do you want to see built? Answer in German.,End,answer in {language_requested},de,sharegpt
Write in German. What services do CRM agencies offer for Consultation and strategy development?,Start,write in {language_requested},de,sharegpt
What services do CRM agencies offer for Consultation and strategy development? Answer in German.,End,answer in {language_requested},de,sharegpt
Respond in German. can i use spring state machine and workflow together and is it justified?,Start,respond in {language_requested},de,sharegpt
can i use spring state machine and workflow together and is it justified? Write in German.,End,write in {language_requested},de,sharegpt
Use German. where can I study interior design in Europe? The courses should be online and the certification duration should 1 year or less.,Start,use {language_requested},de,sharegpt
where can I study interior design in Europe? The courses should be online and the certification duration should 1 year or less. Use German.,End,use {language_requested},de,sharegpt
"Use German. You are a product manager at Notion, and several enterprise customers have requested the ability to visualize their database in Notion. A few 3rd-party tools on the market are trying to offer data visualization capability as integrations. However, the management team believes this is a good opportunity for us to improve the enterprise's offerings by developing native features that allow users to build visualizations inside Notion. How would you build this feature.",Start,use {language_requested},de,sharegpt
"You are a product manager at Notion, and several enterprise customers have requested the ability to visualize their database in Notion. A few 3rd-party tools on the market are trying to offer data visualization capability as integrations. However, the management team believes this is a good opportunity for us to improve the enterprise's offerings by developing native features that allow users to build visualizations inside Notion. How would you build this feature. Answer in German.",End,answer in {language_requested},de,sharegpt
Use German. I'm interested in writing a research paper on why people disagree about morality. What are the the various disciplines and/or fields producing research that is relevant to this question?,Start,use {language_requested},de,sharegpt
I'm interested in writing a research paper on why people disagree about morality. What are the the various disciplines and/or fields producing research that is relevant to this question? Use German.,End,use {language_requested},de,sharegpt
"Respond in German. what do you think: given ocams razor says that the simplest explenation is the most likely, might there be a point where the existing quantum physics theories will be replace by much more simple theories or is it more likely that we've reached a point where no more simplification is possible due to the nature of the universe?",Start,respond in {language_requested},de,sharegpt
"what do you think: given ocams razor says that the simplest explenation is the most likely, might there be a point where the existing quantum physics theories will be replace by much more simple theories or is it more likely that we've reached a point where no more simplification is possible due to the nature of the universe? Write in German.",End,write in {language_requested},de,sharegpt
Respond in German. What are your thoughts about the future of academic libraries in the next 10 years?,Start,respond in {language_requested},de,sharegpt
What are your thoughts about the future of academic libraries in the next 10 years? Write in German.,End,write in {language_requested},de,sharegpt
Reply in German. Summarize the sensor portfolio of Infineon,Start,reply in {language_requested},de,sharegpt
Summarize the sensor portfolio of Infineon. Write in German.,End,write in {language_requested},de,sharegpt
Respond in German. Can you explain the working principle behind stable diffusion?,Start,respond in {language_requested},de,sharegpt
Can you explain in German the working principle behind stable diffusion?,Middle,in {language_requested},de,sharegpt
Can you explain the working principle behind stable diffusion? Write in German.,End,write in {language_requested},de,sharegpt
Respond in German. what are the best analysis to perform during due diligence of enterprise software companies?,Start,respond in {language_requested},de,sharegpt
what are the best analysis to perform during due diligence of enterprise software companies? Write in German.,End,write in {language_requested},de,sharegpt
Answer in German. How could a sociology of the algorithmic art of governing look like?,Start,answer in {language_requested},de,sharegpt
How could a sociology of the algorithmic art of governing look like? Respond in German.,End,respond in {language_requested},de,sharegpt
Write in German. what topics are investigated by an underwriter for life insurance?,Start,write in {language_requested},de,sharegpt
what topics are investigated by an underwriter for life insurance? Write in German.,End,write in {language_requested},de,sharegpt
"Write in German. What are the health and safety requirements for a residential, commercial and istitutional construction company in Ontario",Start,write in {language_requested},de,sharegpt
"What are the health and safety requirements for a residential, commercial and istitutional construction company in Ontario. Reply in German.",End,reply in {language_requested},de,sharegpt
Reply in German. Write a project proposal on : Assessing the implementation of sustainable development goals in urban planning practices: Challenges and opportunities,Start,reply in {language_requested},de,sharegpt
Write a project proposal in German on : Assessing the implementation of sustainable development goals in urban planning practices: Challenges and opportunities,Middle,in {language_requested},de,sharegpt
Write a project proposal on : Assessing the implementation of sustainable development goals in urban planning practices: Challenges and opportunities. Use German.,End,use {language_requested},de,sharegpt
Use German. explain database sharding,Start,use {language_requested},de,sharegpt
explain database sharding. Write in German.,End,write in {language_requested},de,sharegpt
"Respond in German. Read and summarize the architecture design in ""Deep-Aligned Convolutional Neural Network for Skeleton-Based Action Recognition and Segmentation""",Start,respond in {language_requested},de,sharegpt
"Read and summarize in German the architecture design in ""Deep-Aligned Convolutional Neural Network for Skeleton-Based Action Recognition and Segmentation""",Middle,in {language_requested},de,sharegpt
"Read and summarize the architecture design in ""Deep-Aligned Convolutional Neural Network for Skeleton-Based Action Recognition and Segmentation"". Write in German.",End,write in {language_requested},de,sharegpt
Use German. What are the steps to become a conglomerate?,Start,use {language_requested},de,sharegpt
What are the steps to become a conglomerate? Use German.,End,use {language_requested},de,sharegpt
Write in German. What is the best way to forecast sales for a meal replacement product for the following year?,Start,write in {language_requested},de,sharegpt
What is the best way to forecast sales for a meal replacement product for the following year? Write in German.,End,write in {language_requested},de,sharegpt
