prompt,location,phrasing,language,source
"what can be some ways AI can help address issues like pollution, climate change and destruction of ecosystems? Use Italian.",End,use {language_requested},it,sharegpt
Answer in Italian. Explain quantum computing in simple terms,Start,answer in {language_requested},it,sharegpt
Explain quantum computing in simple terms. Use Italian.,End,use {language_requested},it,sharegpt
Respond in Italian. which country was the first to adopt communism as the way to develop it economy,Start,respond in {language_requested},it,sharegpt
which country was the first to adopt communism as the way to develop it economy. Respond in Italian.,End,respond in {language_requested},it,sharegpt
Write in Italian. how can I answer the question: What types of use cases or new plugins do you want to see built?,Start,write in {language_requested},it,sharegpt
how can I answer the question: What types of use cases or new plugins do you want to see built? Answer in Italian.,End,answer in {language_requested},it,sharegpt
Write in Italian. What services do CRM agencies offer for Consultation and strategy development?,Start,write in {language_requested},it,sharegpt
What services do CRM agencies offer for Consultation and strategy development? Answer in Italian.,End,answer in {language_requested},it,sharegpt
Respond in Italian. can i use spring state machine and workflow together and is it justified?,Start,respond in {language_requested},it,sharegpt
can i use spring state machine and workflow together and is it justified? Write in Italian.,End,write in {language_requested},it,sharegpt
Use Italian. where can I study interior design in Europe? The courses should be online and the certification duration should 1 year or less.,Start,use {language_requested},it,sharegpt
where can I study interior design in Europe? The courses should be online and the certification duration should 1 year or less. Use Italian.,End,use {language_requested},it,sharegpt
"Use Italian. You are a product manager at Notion, and several enterprise customers have requested the ability to visualize their database in Notion. A few 3rd-party tools on the market are trying to offer data visualization capability as integrations. However, the management team believes this is a good opportunity for us to improve the enterprise's offerings by developing native features that allow users to build visualizations inside Notion. How would you build this feature.",Start,use {language_requested},it,sharegpt
"You are a product manager at Notion, and several enterprise customers have requested the ability to visualize their database in Notion. A few 3rd-party tools on the market are trying to offer data visualization capability as integrations. However, the management team believes this is a good opportunity for us to improve the enterprise's offerings by developing native features that allow users to build visualizations inside Notion. How would you build this feature. Answer in Italian.",End,answer in {language_requested},it,sharegpt
Use Italian. I'm interested in writing a research paper on why people disagree about morality. What are the the various disciplines and/or fields producing research that is relevant to this question?,Start,use {language_requested},it,sharegpt
I'm interested in writing a research paper on why people disagree about morality. What are the the various disciplines and/or fields producing research that is relevant to this question? Use Italian.,End,use {language_requested},it,sharegpt
"Respond in Italian. what do you think: given ocams razor says that the simplest explenation is the most likely, might there be a point where the existing quantum physics theories will be replace by much more simple theories or is it more likely that we've reached a point where no more simplification is possible due to the nature of the universe?",Start,respond in {language_requested},it,sharegpt
"what do you think: given ocams razor says that the simplest explenation is the most likely, might there be a point where the existing quantum physics theories will be replace by much more simple theories or is it more likely that we've reached a point where no more simplification is possible due to the nature of the universe? Write in Italian.",End,write in {language_requested},it,sharegpt
Respond in Italian. What are your thoughts about the future of academic libraries in the next 10 years?,Start,respond in {language_requested},it,sharegpt
What are your thoughts about the future of academic libraries in the next 10 years? Write in Italian.,End,write in {language_requested},it,sharegpt
Reply in Italian. Summarize the sensor portfolio of Infineon,Start,reply in {language_requested},it,sharegpt
Summarize the sensor portfolio of Infineon. Write in Italian.,End,write in {language_requested},it,sharegpt
Respond in Italian. Can you explain the working principle behind stable diffusion?,Start,respond in {language_requested},it,sharegpt
Can you explain in Italian the working principle behind stable diffusion?,Middle,in {language_requested},it,sharegpt
Can you explain the working principle behind stable diffusion? Write in Italian.,End,write in {language_requested},it,sharegpt
Respond in Italian. what are the best analysis to perform during due diligence of enterprise software companies?,Start,respond in {language_requested},it,sharegpt
what are the best analysis to perform during due diligence of enterprise software companies? Write in Italian.,End,write in {language_requested},it,sharegpt
Answer in Italian. How could a sociology of the algorithmic art of governing look like?,Start,answer in {language_requested},it,sharegpt
How could a sociology of the algorithmic art of governing look like? Respond in Italian.,End,respond in {language_requested},it,sharegpt
Write in Italian. what topics are investigated by an underwriter for life insurance?,Start,write in {language_requested},it,sharegpt
what topics are investigated by an underwriter for life insurance? Write in Italian.,End,write in {language_requested},it,sharegpt
"Write in Italian. What are the health and safety requirements for a residential, commercial and istitutional construction company in Ontario",Start,write in {language_requested},it,sharegpt
"What are the health and safety requirements for a residential, commercial and istitutional construction company in Ontario. Reply in Italian.",End,reply in {language_requested},it,sharegpt
Reply in Italian. Write a project proposal on : Assessing the implementation of sustainable development goals in urban planning practices: Challenges and opportunities,Start,reply in {language_requested},it,sharegpt
Write a project proposal in Italian on : Assessing the implementation of sustainable development goals in urban planning practices: Challenges and opportunities,Middle,in {language_requested},it,sharegpt
Write a project proposal on : Assessing the implementation of sustainable development goals in urban planning practices: Challenges and opportunities. Use Italian.,End,use {language_requested},it,sharegpt
Use Italian. explain database sharding,Start,use {language_requested},it,sharegpt
explain database sharding. Write in Italian.,End,write in {language_requested},it,sharegpt
"Respond in Italian. Read and summarize the architecture design in ""Deep-Aligned Convolutional Neural Network for Skeleton-Based Action Recognition and Segmentation""",Start,respond in {language_requested},it,sharegpt
"Read and summarize in Italian the architecture design in ""Deep-Aligned Convolutional Neural Network for Skeleton-Based Action Recognition and Segmentation""",Middle,in {language_requested},it,sharegpt
"Read and summarize the architecture design in ""Deep-Aligned Convolutional Neural Network for Skeleton-Based Action Recognition and Segmentation"". Write in Italian.",End,write in {language_requested},it,sharegpt
Use Italian. What are the steps to become a conglomerate?,Start,use {language_requested},it,sharegpt
What are the steps to become a conglomerate? Use Italian.,End,use {language_requested},it,sharegpt
Write in Italian. What is the best way to forecast sales for a meal replacement product for the following year?,Start,write in {language_requested},it,sharegpt
What is the best way to forecast sales for a meal replacement product for the following year? Write in Italian.,End,write in {language_requested},it,sharegpt
